,0,1,2,3,4,5,6,7,8,9,10
3700,Boston University (BU),Earth and environment,"$32,000",1.12,2017-2018,1st,,"$32,000",,,
3701,Duke University (DU),University Program in Genetics and Genomics,"$31,300",1.41,2017-2018,2nd,"Health care and all fees paid for, including gym","$31,300",,,
3702,Norwegian University of Science and Technology,Computer Science,"$61,000",,2017-2018,4th,,"$61,000",,,
3703,University of Wisconsin - Madison (UW),Atmospheric and Oceanic SCiences,"$26,082",1.14,2017-2018,1st,,"$26,712",,,$630
3704,,Chemistry,"$28,000",,2017-2018,5th,,"$28,000",,,
3705,,Chemistry,"$28,000",,2017-2018,5th,,"$28,000",,,
3706,Duke University (DU),,"$34,000",1.53,2017-2018,,,"$34,000",,,
3707,Rutgers the State University of New Jersey - New Brunswick,History ,"$19,800",0.77,2016-2017,5th,,,"$21,000",,"$1,200"
3708,Duke University (DU),Ecology,"$27,500",1.24,2017-2018,3rd,,"$27,500",,,
3709,Georgetown University,Neurology,"$48,000",1.56,2017-2018,1st,,"$48,000",,,
3710,University of Massachusetts - Amherst (UMass),Plant Biology,"$24,000",1.05,2017-2018,1st,,"$25,000",,,"$1,000"
3711,University of California - San Francisco (UCSF),Biophysics,"$37,000",1.24,2016-2017,5th,,"$37,000",,,
3712,Duke University (DU),Chemistry,"$29,500",1.33,2017-2018,3rd,,"$29,500",,,
3713,Baylor College of Medicine,Developmental Biology/ MD-PhD,"$31,000",1.42,2017-2018,3rd,,"$31,000",,,
3714,University of Regina,Biology,"$9,000",,2016-2017,4th,,"$15,000",,,"$6,000"
3715,Duke University (DU),Biochemistry ,"$31,000",1.39,2017-2018,4th,,"$32,000",,,"$1,000"
3716,University of Michigan - Ann Arbor (UM),Computational Medicine and Bioinformatics,"$25,000",1.08,2017-2018,3rd,,"$25,000",,,
3717,Lehigh University,Psychology,"$34,000",1.52,2017-2018,1st,Comes from a fellowship from the us dept of ed given to lehigh called the GAANN ,"$34,000",,,
